Date,Close/Last,Volume,Open,High,Low,Day
03/03/2021,227.56,34029530,$232.16,$233.58,$227.26,257
03/04/2021,226.73,44727790,$226.74,$232.49,$224.26,258
03/05/2021,231.6,41872770,$229.52,$233.27,$226.46,259
03/08/2021,227.39,35267440,$231.37,$233.37,$227.13,260
03/09/2021,233.78,33080530,$232.88,$235.38,$231.67,261
03/10/2021,232.42,29746810,$237.00,$237.00,$232.04,262
03/11/2021,237.13,29907590,$234.96,$239.17,$234.31,263
03/12/2021,235.75,22653660,$234.01,$235.82,$233.23,264
03/15/2021,234.81,26042670,$234.96,$235.19,$231.81,265
03/16/2021,237.71,28092200,$236.28,$240.06,$235.94,266
03/17/2021,237.04,29562100,$236.15,$238.55,$233.23,267
03/18/2021,230.72,34852250,$232.56,$234.19,$230.33,268
03/19/2021,230.35,46430730,$231.02,$232.47,$229.35,269
03/22/2021,235.99,30127010,$230.27,$236.90,$230.14,270
03/23/2021,237.58,31638380,$237.49,$241.05,$237.07,271
03/24/2021,235.46,25620130,$237.85,$238.00,$235.32,272
03/25/2021,232.34,34061850,$235.30,$236.94,$231.57,273
03/26/2021,236.48,25479850,$231.55,$236.71,$231.55,274
03/29/2021,235.24,25227460,$236.59,$236.80,$231.88,275
03/30/2021,231.85,24792010,$233.53,$233.85,$231.10,276
03/31/2021,235.77,43623470,$232.91,$239.10,$232.39,277
04/01/2021,242.35,30337980,$238.47,$242.84,$238.05,278
04/05/2021,249.07,36910610,$242.76,$249.96,$242.70,279
04/06/2021,247.86,22931920,$247.61,$249.40,$246.88,280
04/07/2021,249.9,22719840,$247.81,$250.93,$247.19,281
04/08/2021,253.25,23625200,$252.77,$254.14,$252.00,282
04/09/2021,255.85,24326830,$252.87,$255.99,$252.44,283
04/12/2021,255.91,27148670,$254.71,$257.67,$254.62,284
04/13/2021,258.49,23837470,$257.26,$259.19,$256.83,285
04/14/2021,255.59,23070940,$257.48,$258.83,$255.16,286
04/15/2021,259.5,25627480,$257.93,$259.93,$257.73,287
04/16/2021,260.74,24878580,$259.47,$261.00,$257.60,288
04/19/2021,258.74,23209260,$260.19,$261.48,$257.82,289
04/20/2021,258.26,19722880,$257.82,$260.20,$256.84,290
04/21/2021,260.58,24030380,$258.94,$260.68,$257.25,291
04/22/2021,257.17,25606150,$260.21,$261.78,$255.64,292
04/23/2021,261.15,21499290,$257.88,$261.51,$257.27,293
04/26/2021,261.55,19763350,$261.66,$262.44,$260.17,294
04/27/2021,261.97,31014210,$261.59,$263.19,$260.12,295
04/28/2021,254.56,46903120,$256.08,$256.54,$252.95,296
04/29/2021,252.51,40589020,$255.46,$256.10,$249.00,297
04/30/2021,252.18,30945100,$249.74,$253.08,$249.60,298
05/03/2021,251.86,19626570,$253.40,$254.35,$251.12,299
05/04/2021,247.79,32756050,$250.97,$251.21,$245.76,300
05/05/2021,246.47,21901330,$249.06,$249.50,$245.82,301
05/06/2021,249.73,26491090,$246.45,$249.86,$244.69,302
05/07/2021,252.46,27032910,$252.15,$254.30,$251.17,303
05/10/2021,247.18,29299890,$250.87,$251.73,$247.12,304
05/11/2021,246.23,33641590,$244.55,$246.60,$242.57,305
05/12/2021,239,36684370,$242.17,$244.38,$238.07,306
05/13/2021,243.03,29624300,$241.80,$245.60,$241.42,307
05/14/2021,248.15,23901080,$245.58,$249.18,$245.49,308
05/17/2021,245.18,24938180,$246.55,$246.59,$243.52,309
05/18/2021,243.08,20167980,$246.27,$246.41,$242.90,310
05/19/2021,243.12,25739810,$239.31,$243.23,$238.60,311
05/20/2021,246.48,21800720,$243.96,$247.95,$243.86,312
05/21/2021,245.17,21863060,$247.57,$248.33,$244.74,313
05/24/2021,250.78,21411550,$247.79,$251.16,$247.51,314
05/25/2021,251.72,17704300,$251.77,$252.75,$250.82,315
05/26/2021,251.49,17771600,$251.43,$252.94,$250.75,316
05/27/2021,249.31,24426240,$251.17,$251.48,$249.25,317
05/28/2021,249.68,18274940,$251.00,$252.08,$249.56,318
06/01/2021,247.4,23213310,$251.23,$251.29,$246.96,319
06/02/2021,247.3,19406710,$248.13,$249.27,$245.84,320
06/03/2021,245.71,25307710,$245.22,$246.34,$243.00,321
06/04/2021,250.79,25281090,$247.76,$251.65,$247.51,322
06/07/2021,253.81,23079170,$249.98,$254.09,$249.81,323
06/08/2021,252.57,22455000,$255.16,$256.01,$252.51,324
